ID Fuente,Nombre fuente,¿Existe?,¿Qué tipo de fuente es?,Estado
1116,Plaza Juan XXIII,Si,Para personas,Funciona
1126,Subida a La Fuensanta,Si,Para personas,Funciona
116,Jardín Camilo José Cela,Si,Para personas,Funciona
14,Jardín Isaac Peral-Tres Copas,Si,Para personas,Funciona
14_3,Jardín Isaac Peral-Tres Copas,Si,Para personas,Funciona
191,Plaza Julián Romea,Si,Para personas,Funciona
191_2,Plaza Julián Romea,Si,Para personas,Funciona
197,Plaza San Agustín,Si,Para personas,Funciona
200,Jardín Mariano Montesinos,Si,Para personas,Funciona
2001,Avenida San Ginés,Si,Para personas,Funciona
203,Jardín de la Seda,Si,Para personas,Funciona
213,Zona Verde Ronda Oeste,Si,Para personas,Funciona
213_3,Zona Verde Ronda Oeste,Si,Para personas,Funciona
213_4,Zona Verde Ronda Oeste,Si,Para personas,Funciona
221,Jardín Alcalde José Méndez Espino,Si,Para personas,Funciona
225,Jardín Bendame Menor,Si,Para personas,Funciona
225_2,Jardín Bendame Menor,Si,Para personas,Funciona
2400,Jardín Directora Virginia Martínez,Si,Para personas,Funciona
2406,Jardín Calle del Aire,Si,Para personas,Funciona
2421,Jardín Calle San Diego,Si,Para personas,Funciona
2455,Centro Cultural,Si,Para personas,Funciona
2488,Zona Verde Calle Escuelas,Si,Para personas,Funciona
2496,Jardín Alberca de Salamanca,Si,Para personas,Funciona
250,Jardín San Basilio,Si,Para personas,Funciona
2516,Jardín de Plaza Circular,Si,Para personas,Funciona
2519,Plaza Iglesia,Si,Para personas,Funciona
2521,Jardín Molino del Batán,Si,Para personas,Funciona
2525,Zona Verde Cuevas del Norte,Si,Para personas,Funciona
253,Zona Verde Arturo Duperier,Si,Para personas,Funciona
2589_2,Ángel López Nicolás,Si,Para personas,Funciona
2603,Zona Verde Calle Sol,Si,Para personas,Funciona
2611,Jardín Miguel Ángel Blanco,Si,Para personas,Funciona
2614,Zona Verde Carretera Alicante,Si,Para personas,Funciona
2632,Parque Don Jaime Sotos,Si,Para personas,Funciona
2633,Plaza Iglesia,Si,Para personas,Funciona
2639,Jardín Escultor Francisco Salzillo,Si,Para personas,Funciona
2642,Plaza Padre Clemente,Si,Para personas,Funciona
2678,Jardín Avenida Silva Muñoz,Si,Para personas,Funciona
2690,Jardín Centro Municipal,Si,Para personas,Funciona
2696,Plaza Iglesia,Si,Para personas,Funciona
2697,Parterre Santa Catalina,Si,Para personas,Funciona
2714,Jardín de los Naranjos,Si,Para personas,Funciona
2717,Jardín Avenida Juan Carlos I - Calle Moreras,Si,Para personas,Funciona
2740,Jardín Monteazahar,Si,Para personas,Funciona
2741,Jardín Calle Río Guadiana,Si,Para personas,Funciona
2746,Jardín José Palma Moraga - Club 3ª Edad,Si,Para personas,Funciona
2772,Jardín Calle Poniente,Si,Para personas,Funciona
2816,Zona Verde Iglesia Alta,Si,Para personas,Funciona
2828,Jardín Luciano Nicolás Hernández - Urb. Los Naranjos,Si,Para personas,Funciona
2842,Jardín Caracol,Si,Para personas,Funciona
2847,Jardín Junto Alcaldía,Si,Para personas,Funciona
2849,Jardín Dulcinea,Si,Para personas,Funciona
2854,Zona Verde Ermita de la Cruz,Si,Para personas,Funciona
2888,Jardín Mariano López Giménez (Junto Colegio Público),Si,Para personas,Funciona
